"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE2","1","Antenna_Shield","","","","Connector_Coaxial:BNC_TEConnectivity_1478204_Vertical",""
"BT1","1","Battery","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"BZ1","1","Buzzer","","","","Buzzer_Beeper:MagneticBuzzer_StarMicronics_HMB",""
"C1","1","100nF","","","","PCM_Capacitor_THT_AKL:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"LED1","1","LED_5mm_Green","","","","PCM_LED_THT_AKL:LED_D5.0mm",""
"Q1,Q4","2","2N2222A","","","","PCM_Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_EBC","https://www.tme.eu/Document/f56ae9fa05736feb390d26bab71fb0d5/2n2222a.pdf"
"Q2,Q3","2","BC557","","","","PCM_Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_CBE","https://www.tme.eu/Document/19c3b49670dc51eab7374dcc2c4f9200/BC556-BC560.pdf"
"R1,R4","2","100k","","","","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R2","1","1M","","","","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R3","1","47","","","","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"R5","1","10k","","","","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"TP1,TP2,TP3","3","TestPoint_Probe","","","","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill0.7mm",""
